name,label,catchment,river,situation,easting,northing,x,y
A91A,A91A - site located downstream of road. site completed 10m from roadside.,unknown,,site located downstream of road. site completed 10m from roadside.,196300,708500,-5.287426,56.22529
A92A,A92A - Downstream of road,unknown,,Downstream of road,196300,708600,-5.287503,56.226187
A93C,A93C - Down and upstream of upper forestry track,unknown,,Down and upstream of upper forestry track,197100,708900,-5.274851,56.229219
A94A,"A94A - at Eredine, stream flows alongside road upstream from the bridge.",unknown,,"at Eredine, stream flows alongside road upstream from the bridge.",196900,709500,-5.278532,56.234516
A94B,A94B - Upstream of falls at end of forestry track,unknown,,Upstream of falls at end of forestry track,197300,709400,-5.272013,56.23379
A94T1,A94T1 - upstream of road,unknown,,upstream of road,196800,709400,-5.280066,56.233576
A95A,A95A - Downstream of B840 Road. Start at left hand bend.,unknown,,Downstream of B840 Road. Start at left hand bend.,197200,709900,-5.274007,56.238232
A95B,A95B - Upstream of B840 road,unknown,,Upstream of B840 road,197200,709750,-5.273892,56.236886
A95C,A95C - Downstream of lower forestry track,unknown,,Downstream of lower forestry track,197500,709800,-5.269098,56.237463
A95D,A95D - Downstream of upper forestry track,unknown,,Downstream of upper forestry track,197700,709700,-5.265801,56.236651
A96T2A,A96T2A - Kames River trib. Upstream of fording point to flight pond.,unknown,,Kames River trib. Upstream of fording point to flight pond.,198100,710600,-5.260045,56.244894
A96T3A,A96T3A - downstream of forestry track/turning circle culvert,unknown,,downstream of forestry track/turning circle culvert,198200,710300,-5.258205,56.242245
AD1,AD1 - 100m upstream of road bridge - braid to ford,unknown,,100m upstream of road bridge - braid to ford,179100,717300,-5.571644,56.296522
AD2,AD2 - Upstream of waterfall,unknown,,Upstream of waterfall,179444,717473,-5.566241,56.298233
ANC1,ANC1 - between 2 bedrock steps,unknown,,between 2 bedrock steps,183305,667220,-5.463266,55.849346
ANC2,ANC2 - Downstream of bend,unknown,,Downstream of bend,182900,667505,-5.469951,55.85172
ANC3,ANC3 - Upstream of tributary on right bank,unknown,,Upstream of tributary on right bank,182970,667995,-5.469227,55.856146
ANC4,ANC4 - Upstream of bedrock falls beyond egde of clearfell,unknown,,Upstream of bedrock falls beyond egde of clearfell,183205,668840,-5.466155,55.86383
ANC5,"ANC5 - Downstream of watertgate, upstream of fallen tree",unknown,,"Downstream of watertgate, upstream of fallen tree",182054,669610,-5.48513,55.870217
AROS 3,AROS 3 - In riffle between two pools,unknown,,In riffle between two pools,152800,745400,-6.022105,56.535385
AROS 4,"AROS 4 - Seat Pool, From Willow on RB to large rock on LB, d/s of tributary confluence",unknown,,"Seat Pool, From Willow on RB to large rock on LB, d/s of tributary confluence",153900,745500,-6.004358,56.536858
